organ,drug,dose_mg,duration_h,oxygen,ph,viability,lactate,toxic_metabolites,heartbeat,contractility,filtration,glucose,label
liver,Drug A,56.28,30.31,95.0,7.464,97.71,0.92,1.5,74.34,93.73,109.57,95.04,Normal
liver,Drug C,56.72,5.44,82.98,7.251,82.67,3.48,11.21,86.16,65.76,91.43,80.54,Mild Toxicity
lungs,Drug A,13.94,35.15,98.7,7.404,99.88,0.69,1.76,69.45,95.85,98.78,95.88,Normal
liver,Drug A,15.1,16.32,99.45,7.42,99.27,0.92,1.69,75.0,89.27,103.48,98.87,Normal
heart,Drug B,59.7,18.02,79.99,7.1,70.82,4.08,15.12,91.16,71.9,88.63,91.55,Mild Toxicity
lungs,Drug A,40.43,24.51,96.28,7.417,98.43,1.5,1.29,66.37,92.11,93.61,84.99,Normal
kidney,Drug A,18.9,19.53,97.11,7.388,96.63,0.85,1.91,67.48,90.68,111.92,88.37,Normal
heart,Drug A,22.93,7.17,93.95,7.36,96.31,1.04,2.32,71.58,88.33,106.22,91.23,Normal
lungs,Drug C,54.7,28.7,40.05,6.6,7.75,12.0,49.73,35.16,9.55,12.59,28.83,Severe Toxicity
kidney,Drug B,56.45,13.06,82.73,7.25,81.58,2.95,10.36,84.43,72.88,72.63,76.75,Mild Toxicity
heart,Drug A,57.94,10.26,99.32,7.302,98.72,1.1,1.36,73.6,86.23,99.95,90.28,Normal
liver,Drug A,13.34,15.35,93.84,7.37,100.0,1.04,1.88,72.87,95.68,111.46,103.47,Normal
heart,Drug C,48.56,10.31,78.03,7.136,70.4,4.79,16.74,106.52,55.56,82.93,72.85,Mild Toxicity
lungs,Drug A,37.9,27.6,93.6,7.425,96.1,0.65,1.54,75.54,91.03,96.4,96.0,Normal
lungs,Drug A,44.72,24.73,99.23,7.404,97.0,0.68,1.43,73.36,97.76,101.04,89.69,Normal
heart,Drug A,46.67,12.79,99.08,7.391,97.77,0.89,1.1,66.29,87.24,109.84,90.21,Normal
lungs,Drug A,32.81,28.27,99.21,7.373,100.0,0.76,1.28,65.74,86.31,108.97,101.48,Normal
liver,Drug C,21.27,6.92,89.77,7.344,87.84,1.91,6.36,77.91,83.49,96.21,82.53,Normal
lungs,Drug A,48.2,10.12,97.78,7.406,97.27,0.83,1.63,72.2,91.53,116.72,99.34,Normal
liver,Drug A,42.23,24.62,96.34,7.34,100.0,1.1,0.95,71.33,89.67,120.37,97.13,Normal
kidney,Drug A,31.91,17.86,96.2,7.405,95.51,1.13,0.85,72.76,93.92,96.28,94.84,Normal
liver,Drug B,25.91,27.59,83.02,7.217,81.46,3.28,10.62,77.31,65.98,90.88,86.72,Mild Toxicity
heart,Drug B,50.3,11.61,88.42,7.292,82.0,2.95,9.09,81.83,75.69,96.15,83.67,Mild Toxicity
lungs,Drug A,46.04,20.39,98.0,7.425,94.56,1.07,1.54,78.93,95.47,105.01,94.63,Normal
heart,Drug A,54.43,20.23,99.28,7.369,98.89,1.09,1.02,68.05,82.5,113.45,100.85,Normal
kidney,Drug C,43.28,4.6,87.55,7.304,85.44,2.38,7.35,70.05,82.92,92.62,80.47,Normal
lungs,Drug C,58.3,20.26,53.16,6.661,32.54,9.31,37.59,41.54,26.67,23.92,45.79,Severe Toxicity
heart,Drug B,56.67,26.7,67.11,7.042,56.54,5.5,20.27,95.6,58.56,62.57,64.38,Severe Toxicity
liver,Drug A,51.05,19.2,94.74,7.433,97.27,0.87,1.2,75.05,89.61,105.15,94.13,Normal
kidney,Drug A,39.78,4.8,97.54,7.408,96.88,1.2,1.19,73.76,91.71,107.14,93.81,Normal
kidney,Drug A,47.68,23.13,94.81,7.48,98.8,1.05,2.04,74.98,87.77,121.1,95.01,Normal
lungs,Drug A,26.57,33.55,96.35,7.423,97.14,1.02,0.96,66.45,95.17,90.54,99.02,Normal
kidney,Drug B,17.28,13.43,95.0,7.344,93.75,1.97,3.95,80.9,87.35,94.28,83.71,Normal
heart,Drug C,21.81,6.7,89.0,7.309,89.42,2.4,5.67,79.97,79.39,92.55,83.5,Normal
kidney,Drug A,13.72,27.48,99.37,7.418,99.47,1.0,1.33,68.45,95.67,112.8,90.52,Normal
heart,Drug A,46.67,28.97,98.32,7.381,97.42,0.97,1.63,75.65,94.82,105.95,97.65,Normal
kidney,Drug B,10.8,13.32,94.32,7.398,96.11,1.61,3.74,72.29,95.18,100.39,88.69,Normal
heart,Drug B,49.32,3.36,95.34,7.335,93.54,1.47,3.47,78.02,91.33,109.92,96.63,Normal
liver,Drug C,56.95,12.02,68.84,7.081,58.25,6.22,22.61,93.6,57.36,64.94,70.0,Severe Toxicity
lungs,Drug B,19.22,3.12,94.55,7.388,97.88,1.02,2.01,71.85,90.9,103.73,90.0,Normal
heart,Drug B,59.23,17.04,82.43,7.106,70.58,4.03,13.85,90.77,69.48,78.82,75.79,Mild Toxicity
liver,Drug A,42.82,8.15,96.44,7.381,94.75,0.91,1.13,80.41,87.51,99.3,101.74,Normal
liver,Drug B,27.3,12.36,92.88,7.339,90.22,2.38,4.89,76.67,82.73,99.04,94.49,Normal
heart,Drug C,14.12,7.93,95.18,7.33,89.54,1.83,5.41,81.07,86.61,107.37,96.91,Normal
heart,Drug C,50.46,4.11,90.37,7.289,86.66,2.1,7.96,81.72,80.56,107.24,86.13,Normal
lungs,Drug A,32.24,17.18,97.25,7.376,98.53,0.55,1.55,63.38,100.0,112.35,103.15,Normal
heart,Drug A,36.34,27.46,95.4,7.395,99.21,0.99,2.02,69.68,97.15,117.33,102.97,Normal
kidney,Drug C,26.18,19.81,82.1,7.145,63.99,4.83,17.06,95.45,61.15,70.9,76.63,Mild Toxicity
kidney,Drug B,20.7,25.4,86.25,7.202,84.64,2.71,8.02,76.15,81.54,85.89,88.62,Mild Toxicity
heart,Drug B,33.18,22.22,84.29,7.262,77.73,2.92,10.5,75.75,76.63,74.14,80.16,Mild Toxicity
lungs,Drug A,10.29,7.76,98.19,7.359,98.54,1.37,0.8,76.32,90.09,104.73,96.01,Normal
kidney,Drug B,3.96,24.91,95.43,7.336,91.16,1.39,3.12,70.15,86.2,102.71,96.01,Normal
lungs,Drug A,34.67,13.88,98.09,7.382,100.0,1.13,1.46,68.26,91.91,95.35,96.38,Normal
liver,Drug A,16.49,19.46,96.23,7.453,98.4,1.06,1.37,77.82,100.0,110.95,88.6,Normal
heart,Drug B,37.03,14.86,84.71,7.29,88.02,2.75,8.84,86.03,81.17,99.52,87.49,Mild Toxicity
lungs,Drug A,28.16,15.08,97.86,7.393,99.4,1.07,1.14,64.58,97.88,104.85,98.9,Normal
heart,Drug A,53.43,29.67,96.36,7.458,99.89,0.77,1.53,79.06,92.85,112.03,102.05,Normal
lungs,Drug B,53.49,23.06,77.55,7.105,66.37,5.14,17.15,93.89,65.83,78.43,77.55,Mild Toxicity
liver,Drug C,45.19,16.85,67.62,6.974,51.28,6.93,24.83,102.25,53.2,56.06,70.11,Severe Toxicity
heart,Drug B,31.06,17.53,89.06,7.273,83.62,2.48,8.86,83.26,78.26,95.0,96.32,Mild Toxicity
heart,Drug A,24.81,31.48,96.71,7.484,95.8,1.13,1.43,75.31,91.49,115.5,93.24,Normal
heart,Drug B,48.83,13.43,86.19,7.272,79.24,2.94,9.53,84.25,79.74,89.87,75.47,Mild Toxicity
kidney,Drug C,12.15,27.77,83.63,7.206,76.1,3.73,11.36,85.65,78.35,75.62,72.9,Mild Toxicity
kidney,Drug A,6.2,34.07,95.66,7.392,98.54,0.49,1.36,74.66,89.68,112.94,98.5,Normal
liver,Drug A,42.13,25.04,96.52,7.37,95.94,1.22,1.8,71.5,86.39,120.95,90.19,Normal
heart,Drug A,44.4,7.43,97.33,7.407,100.0,1.13,1.36,60.67,91.27,118.03,87.39,Normal
liver,Drug C,44.71,8.77,82.1,7.222,74.08,4.23,13.37,88.09,72.16,99.21,82.82,Mild Toxicity
kidney,Drug B,27.02,29.53,84.58,7.191,79.21,3.43,11.89,87.65,76.17,88.99,78.83,Mild Toxicity
heart,Drug A,16.47,5.15,97.42,7.346,98.18,0.96,1.61,69.89,87.38,120.05,104.54,Normal
kidney,Drug C,7.13,35.11,89.97,7.265,85.36,2.89,9.43,80.95,81.14,94.91,87.35,Mild Toxicity
kidney,Drug A,16.16,30.9,96.2,7.475,97.4,1.14,1.44,75.23,89.46,101.48,92.63,Normal
kidney,Drug A,16.19,1.39,94.31,7.383,98.49,0.8,1.48,72.22,93.05,114.2,100.42,Normal
heart,Drug A,55.01,28.9,95.45,7.364,99.06,1.14,0.95,71.64,91.41,97.62,105.77,Normal
kidney,Drug B,18.14,4.48,98.79,7.44,95.5,1.56,2.12,72.24,88.11,106.36,93.43,Normal
lungs,Drug B,16.2,27.1,93.63,7.295,87.73,2.72,7.54,82.9,80.77,83.73,82.43,Normal
liver,Drug A,10.19,10.34,100.0,7.374,100.0,0.96,0.99,70.36,87.44,117.73,89.24,Normal
kidney,Drug B,55.28,9.7,89.89,7.316,87.65,2.59,8.47,79.19,79.18,96.28,94.16,Mild Toxicity
liver,Drug A,57.91,29.55,98.86,7.356,97.97,1.03,0.83,74.35,93.3,113.95,100.66,Normal
heart,Drug C,29.0,2.66,91.36,7.367,95.69,1.69,3.21,71.35,87.08,101.97,98.64,Normal
heart,Drug A,41.05,10.47,95.92,7.376,97.64,1.13,1.9,75.04,91.55,103.38,102.04,Normal
kidney,Drug A,47.06,14.18,96.11,7.408,96.63,1.02,1.88,71.43,85.07,113.54,99.77,Normal
lungs,Drug A,58.97,34.75,96.27,7.48,100.0,1.0,1.69,71.21,99.58,100.91,101.78,Normal
lungs,Drug C,16.93,18.2,82.89,7.205,81.91,3.49,11.12,86.77,78.47,85.69,82.12,Mild Toxicity
heart,Drug C,39.66,33.49,44.28,6.791,19.44,10.83,41.61,41.28,26.76,22.22,58.53,Severe Toxicity
lungs,Drug A,48.85,24.7,98.27,7.414,98.74,0.91,2.14,68.32,86.39,100.14,91.18,Normal
lungs,Drug A,48.51,31.78,98.72,7.385,96.13,1.12,1.68,72.45,86.31,93.32,88.97,Normal
kidney,Drug C,57.19,5.91,85.74,7.185,79.05,3.65,11.8,81.2,77.75,83.4,89.5,Mild Toxicity
liver,Drug B,22.46,26.22,87.36,7.296,85.51,3.2,8.77,81.33,71.23,95.02,80.77,Mild Toxicity
liver,Drug B,37.77,11.22,89.14,7.297,88.9,2.3,6.59,77.05,85.97,95.6,84.75,Normal
liver,Drug A,22.38,19.36,95.98,7.411,97.68,1.18,1.2,67.83,81.49,111.61,87.1,Normal
liver,Drug A,34.51,17.82,97.62,7.397,98.32,0.9,1.74,68.43,96.1,105.32,88.53,Normal
kidney,Drug C,28.39,34.4,59.95,6.951,43.73,8.47,31.31,38.83,41.4,42.96,55.45,Severe Toxicity
liver,Drug B,39.58,3.41,95.29,7.374,94.65,1.37,2.88,70.34,85.8,102.28,85.62,Normal
liver,Drug C,21.85,24.07,73.07,7.107,66.82,4.91,17.35,93.96,62.2,68.97,70.04,Mild Toxicity
lungs,Drug A,23.13,31.76,97.54,7.398,96.19,0.92,0.83,67.07,94.01,105.27,91.74,Normal
heart,Drug C,48.0,22.69,51.44,6.789,33.55,9.11,34.45,47.24,33.3,24.99,53.48,Severe Toxicity
heart,Drug C,41.23,27.11,55.44,6.813,33.05,8.98,35.44,42.71,27.72,45.12,53.23,Severe Toxicity
kidney,Drug A,57.63,25.75,97.77,7.488,97.75,0.93,0.97,77.42,89.39,106.92,96.52,Normal
kidney,Drug A,2.96,17.57,97.99,7.396,96.09,1.4,1.14,79.14,91.9,99.05,103.12,Normal
kidney,Drug A,32.12,11.24,99.03,7.413,100.0,0.8,1.43,77.35,92.23,104.06,95.81,Normal
kidney,Drug B,20.69,14.55,92.05,7.329,94.77,2.02,5.07,81.87,82.51,108.78,88.98,Normal
heart,Drug C,52.43,31.9,30.17,6.6,5.0,12.0,52.84,23.55,8.0,8.0,27.84,Severe Toxicity
liver,Drug A,11.26,12.22,95.02,7.399,100.0,1.24,1.26,74.41,91.57,102.34,100.12,Normal
liver,Drug C,32.99,10.68,84.79,7.19,77.6,3.82,12.29,83.03,73.62,92.51,87.85,Mild Toxicity
liver,Drug A,54.68,32.15,97.95,7.349,97.55,1.22,1.76,77.16,93.82,118.69,97.36,Normal
liver,Drug B,30.25,7.46,94.35,7.411,89.44,1.92,4.23,74.05,83.77,114.68,93.07,Normal
liver,Drug A,21.21,24.45,97.26,7.418,97.75,0.92,1.88,68.31,88.69,120.71,98.87,Normal
lungs,Drug A,43.16,27.49,97.42,7.416,97.77,1.18,1.18,83.22,90.34,116.59,96.33,Normal
lungs,Drug A,13.62,3.97,94.09,7.328,100.0,0.94,0.92,70.49,93.62,108.63,99.52,Normal
heart,Drug C,57.75,24.82,38.69,6.631,16.67,12.0,45.71,31.68,8.74,8.0,43.32,Severe Toxicity
kidney,Drug A,3.35,6.37,98.79,7.411,98.63,1.03,1.42,73.5,94.11,106.95,90.39,Normal
lungs,Drug A,26.99,14.66,96.35,7.371,95.53,1.48,1.77,74.18,96.26,103.61,97.72,Normal
kidney,Drug A,27.51,25.0,94.16,7.374,99.34,1.07,1.37,69.82,93.74,104.07,98.32,Normal
liver,Drug B,6.72,17.45,92.96,7.353,98.86,1.48,2.88,75.13,89.26,100.23,93.44,Normal
heart,Drug B,43.61,33.01,73.56,7.02,63.8,5.58,19.21,103.83,59.66,63.71,68.06,Severe Toxicity
kidney,Drug B,32.76,14.1,88.5,7.26,85.88,2.51,7.54,80.49,82.36,97.4,93.41,Normal
lungs,Drug C,14.03,20.6,86.22,7.189,80.82,3.57,10.33,75.27,77.67,87.54,88.95,Mild Toxicity
lungs,Drug C,14.17,4.19,95.29,7.41,95.56,1.28,3.23,66.49,92.82,88.9,83.39,Normal
liver,Drug B,11.17,16.12,93.01,7.317,93.27,1.52,4.36,72.56,87.02,93.74,94.16,Normal
liver,Drug C,59.78,35.29,20.0,6.6,5.0,12.0,60.0,20.0,8.0,8.0,20.0,Severe Toxicity
heart,Drug B,17.3,7.03,94.3,7.332,95.37,1.44,3.16,79.11,92.08,100.55,87.21,Normal
heart,Drug A,39.14,20.11,99.33,7.412,98.42,0.9,2.39,61.84,93.8,105.24,88.88,Normal
kidney,Drug C,51.28,11.26,74.33,7.142,62.19,5.14,18.65,91.21,59.92,63.24,74.63,Mild Toxicity
lungs,Drug B,35.29,6.47,93.29,7.3,94.76,1.83,4.04,73.81,84.33,102.78,88.56,Normal
heart,Drug B,41.83,32.68,73.67,7.113,64.92,5.32,18.4,100.2,64.4,71.14,68.44,Mild Toxicity
lungs,Drug B,57.16,28.94,69.2,6.97,55.08,5.9,22.11,106.45,50.18,54.58,77.98,Severe Toxicity
heart,Drug B,32.68,2.17,96.71,7.397,96.62,1.39,2.19,73.78,91.91,112.69,94.91,Normal
heart,Drug B,16.44,1.68,97.9,7.416,98.88,0.88,1.71,62.03,88.31,97.92,90.67,Normal
heart,Drug C,8.04,5.69,94.54,7.329,99.59,1.05,3.07,69.79,93.45,109.51,96.14,Normal
liver,Drug A,28.03,8.09,96.53,7.41,98.95,1.25,1.11,68.42,88.11,116.46,87.7,Normal
liver,Drug B,16.84,35.17,88.39,7.224,83.59,2.96,8.74,77.73,88.41,97.44,84.36,Mild Toxicity
heart,Drug A,12.83,19.58,97.01,7.39,98.27,0.8,1.23,75.95,88.11,103.66,93.31,Normal
heart,Drug A,4.44,15.17,93.97,7.362,100.0,1.11,1.1,83.15,89.91,115.42,94.47,Normal
heart,Drug B,36.18,19.66,83.7,7.183,81.36,3.5,10.56,84.44,78.98,96.43,90.19,Mild Toxicity
heart,Drug C,25.02,29.85,70.23,7.092,51.32,6.68,24.64,104.43,58.84,55.1,70.24,Severe Toxicity
kidney,Drug A,9.23,20.9,95.61,7.366,98.21,1.3,1.51,75.8,90.03,108.71,106.86,Normal
lungs,Drug B,40.25,35.26,71.27,7.074,65.54,5.24,18.85,103.26,63.46,62.02,62.12,Mild Toxicity
liver,Drug C,55.09,11.61,73.42,7.098,60.87,5.65,20.97,103.57,56.53,54.13,69.08,Mild Toxicity
heart,Drug B,55.31,14.15,83.92,7.208,81.76,3.45,10.65,97.59,73.29,84.75,78.7,Mild Toxicity
kidney,Drug A,3.73,11.78,97.78,7.397,96.29,1.23,1.66,81.48,94.9,109.52,89.04,Normal
liver,Drug A,50.85,35.08,96.98,7.397,100.0,0.8,1.36,65.03,87.73,94.75,102.13,Normal
liver,Drug A,39.58,2.42,93.28,7.447,97.49,1.26,1.74,65.36,86.7,106.07,94.47,Normal
lungs,Drug C,8.22,10.5,95.11,7.319,90.67,1.68,3.94,79.43,84.99,97.14,85.15,Normal
lungs,Drug A,19.42,16.09,94.11,7.376,95.13,1.23,1.36,69.3,95.7,108.96,98.67,Normal
liver,Drug A,40.64,31.3,97.16,7.408,99.05,1.05,1.62,66.47,91.91,110.03,81.9,Normal
lungs,Drug C,3.42,25.63,97.93,7.357,92.59,1.53,4.91,74.48,87.81,105.67,93.86,Normal
lungs,Drug B,6.37,24.73,93.79,7.401,92.72,1.53,3.36,80.17,87.99,101.62,89.76,Normal
liver,Drug B,55.53,35.53,62.99,6.869,48.39,7.14,25.54,117.37,44.55,57.68,68.73,Severe Toxicity
heart,Drug C,39.04,32.49,44.61,6.752,26.16,10.45,40.69,36.43,21.49,23.5,43.88,Severe Toxicity
heart,Drug C,55.27,8.53,80.39,7.094,68.16,4.59,16.32,84.42,71.57,79.25,74.95,Mild Toxicity
heart,Drug A,52.74,10.58,98.4,7.382,100.0,0.93,1.53,75.61,83.51,105.48,90.9,Normal
heart,Drug C,25.2,24.4,75.43,7.108,61.25,5.73,20.49,100.84,55.09,68.98,81.0,Mild Toxicity
kidney,Drug B,31.38,6.2,93.83,7.329,92.22,1.67,5.15,68.22,91.84,105.0,98.39,Normal
heart,Drug B,14.15,8.9,95.81,7.322,89.35,1.39,2.65,65.59,87.55,96.32,89.66,Normal
liver,Drug B,31.22,33.27,79.5,7.099,72.35,4.16,14.28,91.29,69.48,75.85,76.33,Mild Toxicity
kidney,Drug C,35.95,34.84,51.63,6.695,20.18,10.55,39.68,35.94,25.48,29.83,46.07,Severe Toxicity
lungs,Drug C,44.32,15.3,71.43,7.064,60.32,6.12,22.42,98.69,58.74,69.39,69.42,Severe Toxicity
heart,Drug A,26.01,28.54,92.48,7.395,97.02,0.88,1.79,78.86,90.28,105.49,96.75,Normal
heart,Drug B,9.92,28.14,94.88,7.282,90.47,1.79,4.56,83.29,85.77,94.98,83.75,Normal
liver,Drug B,27.14,9.56,97.07,7.359,92.42,2.02,4.57,70.36,89.97,118.02,84.23,Normal
heart,Drug A,27.64,10.41,97.95,7.336,94.06,0.89,2.0,72.34,92.23,90.46,98.76,Normal
liver,Drug C,20.79,29.52,76.91,7.049,60.63,5.52,20.14,94.65,62.49,64.15,65.01,Severe Toxicity
heart,Drug A,44.01,23.11,97.35,7.411,93.75,1.06,2.42,66.39,92.65,97.64,90.53,Normal
kidney,Drug A,43.45,6.56,97.26,7.37,96.06,1.14,1.89,74.77,97.13,105.92,89.38,Normal
liver,Drug C,54.82,8.84,77.21,7.163,67.54,4.64,16.45,85.91,67.31,90.94,78.21,Mild Toxicity
heart,Drug B,46.48,6.83,89.83,7.304,88.0,1.92,5.89,81.25,89.1,99.87,76.12,Normal
liver,Drug C,38.51,23.23,63.22,6.989,46.81,7.81,28.4,47.62,44.41,50.02,64.48,Severe Toxicity
kidney,Drug A,59.94,9.04,97.5,7.414,96.15,1.2,1.79,69.47,96.15,110.16,90.8,Normal
heart,Drug B,38.17,13.51,88.94,7.207,87.17,2.83,7.66,83.6,75.58,97.03,94.78,Mild Toxicity
kidney,Drug B,56.37,11.17,88.49,7.218,82.02,3.01,8.93,88.15,73.27,91.33,88.49,Mild Toxicity
lungs,Drug B,50.53,7.01,87.97,7.302,87.98,2.02,5.93,83.9,79.92,95.25,90.62,Normal
kidney,Drug A,12.16,8.68,96.84,7.421,96.26,0.92,1.97,69.6,88.09,116.6,85.46,Normal
lungs,Drug B,14.61,3.2,96.69,7.354,91.11,1.42,1.91,63.15,87.58,110.68,91.36,Normal
kidney,Drug A,13.14,1.15,96.57,7.405,93.37,1.09,1.48,71.47,93.45,101.95,99.65,Normal
liver,Drug B,21.98,27.37,89.3,7.222,82.34,2.92,9.24,82.06,79.89,82.93,88.52,Mild Toxicity
